^:<name=gwgz footnote=ck nocheck=true>	note
77.34	緄、縫而合之也。言從來帝王原各不同、要以成一代之功爲綱紀、豈可合而強同之乎。 ○此正是居今志古、以漢與前代相提而論也。
77.35	應察其首封、所以失之二句。
77.36	應異哉所聞句。 ○此則單指漢諸侯也。五歎。
77.37	結出所以作表之意。表者、表明其事也。
78.1	史記
78.2	Main|孔子世家贊
78.3	向、
78.4	景行、大道也。 ○借詩虛虛籠起。
78.5	遺書一。
78.6	心鄉往之。
78.7	遺器二。
78.8	遺教三。
78.9	心鄉往之。 ○聖無能名、又何容論贊。史公只就其遺書、遺器、遺教、以自言其鄉往之誠、虛神宕漾、最爲得體。
78.10	又借他人、反形一筆。更透。
78.11	折、斷也。中、當也。謂斷其至當之理。
78.12	定贊。
79.1	史記
79.2	Main|外戚世家序
79.3	繼體、謂繼先帝之正體。守文、謂守先帝之法度。
79.4	外戚、紀后妃也。后族亦代有封爵、故曰外戚。 ○總提一句。
79.5	塗山、國名。禹娶塗山氏之女。 ○受命。
79.6	桀伐有施、有施氏以妹喜女焉。 ○繼體。
79.7	嵩、 ○有娀、國名。帝嚳娶其女簡狄爲次妃、生契、爲殷始祖。 ○受命。
79.8	紂伐有蘇、有蘇氏以妲己女焉。 ○繼體。
79.9	壬、 ○帝嚳元妃、有邰氏之女曰姜原、生后稷、爲周始祖。太任、文王之母。 ○受命。
79.10	同擒、
79.11	包、
79.12	褒姒、褒國之女。姒、姓也。 ○繼體。 ○序三段。頂受命繼體之君。而一正一反、句法變化。
79.13	離、
79.14	虞書、釐降二女于嬀汭。釐、理也。降、下嫁也。嬀汭、嬀水之北、舜所居也。言先料理下嫁二女于嬀水之汭也。
79.15	去聲、 ○春秋隱二年、紀履繻來逆女。公羊曰、外逆女不書。此何以書、譏也。何譏爾、譏始不親迎也。
79.16	卽五經、點五段。
79.17	又補出樂。以完六經。
79.18	根上六經。
79.19	起下妃匹。
79.20	同配、
79.21	因命字、起下兩段。
79.22	同歡、
79.23	子姓、子孫也。 ○指惠帝后、薄皇后、陳皇后、慎夫人、尹姬。
79.24	平聲、
79.25	指戚夫人、王皇后、栗姬、王夫人、李夫人。
79.26	結住命字。下卽轉。
79.27	又以性命並言、卽孟子命也有性焉之意。
80.1	史記
80.2	Main|伯夷列傳
80.3	六蓺不載、則不可信以爲實。
80.4	孔子刪詩三百五篇、今亡五篇、刪書一百篇、今亡四十二篇。詩書雖有缺亡、然尚書有堯典、舜典、大禹謨、則虞夏之文。可考而知也。 ○伯夷有傳、有詩、所志在神農虞夏、故先閒閒引起。
80.5	伯夷所重在讓國一節、故先以堯讓天下引起。擬人于其倫、是極重伯夷處。
80.6	岳、四岳、官名。一人而總四岳諸侯之事。牧、九州之牧。又十二牧。
80.7	舜禹皆典職事數十年。
80.8	授以攝政。
80.9	卽虞夏之文、知堯舜禪讓之難。以見堯讓許由、湯讓隨光之妄。
80.10	說者、謂諸子雜記也。
80.11	許由、字武仲、堯欲致天下而讓焉、乃逃隱于潁水之陽、箕山之上。
80.12	卞隨、務光、殷湯讓之天下、並不受而逃。
80.13	堯舜讓位、若斯之難、則許由、隨、光之讓、或說者之妄稱、未必實有其人。
80.14	凡篇中忽插太史公曰四字、皆遷述其父談之言。
80.15	又似實有其人。 ○又引一許由、隨、光、先爲伯夷襯貼、幾令人不辨賓主、神妙無比。
80.16	孔子、是一篇之主。
80.17	又請一吳太伯、帶出伯夷、若不專爲伯夷者。是另一法。
80.18	以由、光義至高、而詩書之文辭不少略見、則其人終屬有無之間、未可據以爲實。 ○又回映由光一筆、繚繞襯貼、文辭正照下伯夷有傳有詩。
80.19	卽以孔子接下。叔齊附傳。
80.20	悲其兄弟相讓、義不食周粟而餓死。
80.21	軼詩、卽下采薇之詩也。不入三百篇、故云軼。其詩有涉于怨、與孔子之言不合、故可異。 ○倒提一筆、妙。
80.22	始正序伯夷事、蓋伯夷先已有傳也。
80.23	孤竹、國名。姓墨胎氏。
80.24	序伯夷實事、平實簡淨、蓋前後多跌蕩、此不得不平實章法也。
80.25	應前軼詩。
80.26	同吁、
80.27	同殂、
80.28	悲憤歷落、流利抑揚、此歌騷之祖也。
80.29	詩與傳畢。
80.30	應前睹軼詩可異句。以下上下千古、無限感慨。
80.31	同潔、
80.32	就夷、齊餓死上、翻出議論。
80.33	膾人肝而餔之。
80.34	誨、 ○恣睢、謂恣行爲睢怒之貌。
80.35	反借夷、齊一宕、引出顏淵、盜跖、一反一正、以極咏歎。 ○有堯、舜、由、光諸人、故又引顏淵、盜跖二人照應作章法。
80.36	升、
80.37	上聲、
80.38	又卽近世人、一反一正、以足上意、作兩層寫。妙。
80.39	又雙結一句、以極咏歎。三非邪、呼應。
80.40	上設兩端開說、此又引孔子言合說。
80.41	裝一句、作道不同註腳。
80.42	兩節正應各從其志。
80.43	又裝一句、作松柏後凋註腳、挽上伯夷。
80.44	彼指操行不軌以下、此指擇地而蹈以下。 ○又以咏歎作一結。
80.45	又引孔子之言。以名字反覆到底。
80.46	賈誼。
80.47	以身從物曰徇。
80.48	貪權勢以矜夸者、至死不休、故云死權也。
80.49	平、
80.50	馮恃其生。 ○引賈子四句、烈士一句是主、指伯夷。
80.51	龍興致雲。虎嘯風烈。
80.52	聖人、人類之首也、故興起于時、而人民皆爭先快覩。 ○引易經五句、聖人一句是主、指孔子。 ○此兩節、將伯夷、孔子合說、直貫至篇末。
80.53	索隱曰、蒼蠅附驥尾而致千里、以喻顏回因孔子而名彰。 ○卽所謂同類相求、聖作而物覩也。又點顏回以陪伯夷、正在有意無意之間、妙。
80.54	因、
80.55	一反。應沒世而名不稱。結篇首悲弔由光案。
80.56	青雲士、聖賢立言傳世者。 ○承上二段推開一層說、言夷、齊得孔子之言、而名顯于後世。由、光未經孔子序列、故後世無聞。所以砥行立名者、必附青雲之士也。寓慨無窮。
81.1	史記
81.2	Main|管晏列傳
81.3	潁水、出陽城。今有潁上縣。
81.4	齊大夫。
81.5	一篇以鮑叔事作主、故先點鮑叔。
81.6	卽下分財多自與之類也。
81.7	千古良友。
81.8	齊襄公無道、鮑叔牙奉公子小白奔莒。及無知弒襄公、管夷吾召忽奉公子糾奔魯、魯人納之。未克而小白入、是爲桓公。使魯殺子糾而請管召、召忽死之、管仲請囚、鮑叔牙言于桓公、以爲相。
81.9	管仲一生事業，只數語略寫。
81.10	卽述仲語作敍事。
81.11	此一事最易知、然知者絕少。
81.12	卽時之不利。
81.13	此四事最難知、唯良友深知之。 ○忽排五段、前實事旣略、此虛事獨詳、前以緊節勝、此以排語佳、相間成文。
81.14	總收知我字。句中有淚。
81.15	閒接。
81.16	十餘世是言鮑叔、索隱指管仲。
81.17	以贊語作結、了鮑叔案。
81.18	間接。一匡九合、前已總序、此又另出一頭。重提再序、局法縱橫、無所不可。
81.19	此句是管仲治齊之綱。一同字、生下六個因字。
81.20	是夷吾著書所稱管子者、今舉其大略也。
81.21	上服度、上之服御物有制度。六親、父母兄弟妻子也。固、安也。
81.22	四維、禮、義、廉、恥也。
81.23	二句、得管仲之骨髓。
81.24	輕重、謂錢也。管子有輕重篇。 ○一部管子、收盡數行。因禍爲福二句、又生下三段。
81.25	桓公與蔡姬戲船中、蔡姬習水蕩公、公怒、歸蔡姬而弗絕、蔡人嫁之、因伐蔡。
81.26	山戎伐燕、桓公救燕、遂伐山戎。
81.27	妹、
81.28	桓公與魯會柯而盟、曹沬以匕首劫桓公于壇上、曰、反魯之侵地、桓公許之。已而欲無與魯地、而殺曹沬、管仲以爲倍信、遂與曹沬三敗所亡地于魯。
81.29	此皆一匡九合中事、又提三段另序、俱不實寫。
81.30	又卽以管子語結之、繳完上節。
81.31	收完任政齊相一段、卽帶下作晏子過文。
81.32	由上接下、蟬聯蛇蛻。
81.33	萊、今東萊地。
81.34	節儉力行四字、括盡晏子。
81.35	與管仲三歸反坫對。
81.36	謂直道行也。
81.37	謂權衡量度而行也。 ○二十五字、作八句、四節、兩對、雋永包括。
81.38	靈、莊、景。
81.39	晏子一生事業、亦只數語、約略虛寫、與管仲一樣。
81.40	賢者固不可測。
81.41	學、
81.42	同伸、
81.43	一句案。
81.44	前以知己論管仲、此以知己論晏子、是史公著意點綴聯合處。
81.45	描盡情狀、呼之欲出。
81.46	奇婦人。 ○亦先作一縱、石父請絕、御妻請去、作一樣寫。
81.47	看人入細。
81.48	亦奇。
81.49	寫出有心人。
81.50	皆管仲著書篇名。
81.51	晏子春秋七篇。
81.52	因二子書已詳言、故史公傳以略勝。
81.53	表明作兩傳之㫖。先總說、下乃分。
81.54	貶駁處、意渾融。
81.55	三句出孝經事君章。言君有美惡、臣將順而匡救之、故君臣能相親協、卽傳中所謂因而伐楚、因而令燕修召公之政、因而信之之類是也。
81.56	極抑揚之致。
81.57	崔杼弒莊公、晏嬰入、枕莊公尸股而哭之、成禮而出。 ○補傳所未及。
81.58	晏子之不討崔氏、權不足也、然亦非克亂之才、故史公以無勇責之。
81.59	卽傳中所謂危言危行順命衡命是也。
81.60	進思盡忠八字、亦出孝經事君章。 ○極贊晏子。
81.61	執鞭暗用御者事。史公以李陵故被刑、漢法腐刑許贖、而生平交遊故舊、無能如晏子解左驂贖石父者、自傷不遇斯人、故作此憤激之詞耳。
82.1	史記
82.2	Main|屈原列傳
82.3	左徒、卽今左右拾遺之徒。
82.4	嫺、習也。
82.5	起敍任用之專、後段節節敍其疏而見放、妙得原委。
82.6	靳尚。
82.7	此句怕人。
82.8	燭、
82.9	讒屈原作兩節寫、害其能一節虛、奪草稾一節實。
82.10	語中庸主之忌。
82.11	以下並史公變調序離騷、卽用騷體。
82.12	先寫作離騷之由。
82.13	離、遭也。 ○註一句。下忽入議論、奇妙。
82.14	提窮字。
82.15	道出人情、真而切。
82.16	應窮字。
82.17	提怨字。
82.18	應怨字。 ○回環曲折、多永言之致。
82.19	謂好色云者、以離騷有密妃等事。然原特假借以思君耳、非如國風之思也。而史公亦假借用之。 ○比騷于詩、深得㫖趣。
82.20	鬧、
82.21	淖、溺也。
82.22	退、
82.23	蟬蛻、如蟬之去皮也。
82.24	嚼、
82.25	子、
82.26	皭、疎靜之貌。滓、濁也。
82.27	極贊屈原。 ○以上離騷、只虛寫。
82.28	閒接。又入敍事。
82.29	同佯、
82.30	詳張儀始終事、爲屈原諫楚王張本。
82.31	丹、浙、皆縣名、在弘農。
82.32	蓋、
82.33	一段。
82.34	卽割楚地、以與楚和。
82.35	又算定懷王。
82.36	僅、
82.37	長句正是省句。
82.38	二段。 ○兩段詞簡而情備。
82.39	忽接入本傳。
82.40	只爲何不殺張儀一句、乃倒裝楚願得張儀一段、又倒裝張儀許楚一段、意思在此、而序事在彼。
82.41	張儀詐楚、客也、于此一結。
82.42	又起一難。
82.43	伏再用之根。
82.44	納、
82.45	懷王一欺于秦而國削、再欺于秦而身死。爲屈原作證、亦爲楚辭作序也。
82.46	再用子蘭、深著楚王之不明也。
82.47	嫉子蘭、先從楚人說起、見非屈原之私怨。
82.48	推屈平本意作議論。
82.49	忽又轉到離騷上。
82.50	應不忘欲反。
82.51	應冀君之一悟。
82.52	又寬一步。
82.53	泛泛感論。包羅古今無窮事。
82.54	將前事總作一收。
82.55	繳斷一句。
82.56	屑、
82.57	渫、不停污也。井渫而不食、使我心惻然、以其可用汲而不汲也。如有王之明者、汲而用之、則上下並受其福也。
82.58	憤切語。
82.59	接上屈平旣嫉之、妙。
82.60	回應上官大夫。
82.61	披、
82.62	極寫落魄悲憤之狀。 ○以下漁父辭。
82.63	三閭、掌王族昭屈景三姓之官。
82.64	似老氏之言。
82.65	醨、薄酒。
82.66	瑾、瑜、皆美玉。
82.67	只就漁父口中、翻出一段至理可參、有情有態、可咏可歌、詞家風度。
82.68	彈而振之、去其塵也。
82.69	問、
82.70	察察、淨潔
82.71	也。汶汶、垢蔽也。
82.72	常流、猶長流也。 ○汨羅之志已決。
82.73	枉入聲、
82.74	溫蠖、猶惛憒、楚詞作塵埃。 ○一氣流轉、機神跌宕。
82.75	懷沙賦刪去。
82.76	覓、
82.77	汨水在羅、故曰汨羅、今長沙屈潭是也。
82.78	磋、
82.79	借宋玉等、前襯屈原、後引賈誼。
82.80	人之云亡、邦國殄瘁。
82.81	借投書事、接下賈誼傳。
82.82	皆離騷篇名。
82.83	讀其文而悲其志。
82.84	遊其地而想其人。
82.85	卽用他弔屈原之意、以歎賈生。
82.86	楚人命鴞曰服、賈生作服賦。
82.87	自悲自弔。 ○此屈賈合贊、凡四折、繚繞無際。
83.1	史記
83.2	Main|酷吏列傳序
83.3	引孔子之言。
83.4	不德、不有其德也。不失德、其德可見也。滋、益。章、明也。 ○引老子之言。
83.5	總斷一句。引孔子老子、是立言主意、以見酷吏之不可崇尚也。
83.6	立論醒徹。
83.7	謂秦法。
83.8	相遁、謂借法爲奸、而無情實、故至于不振。
83.9	費、 ○言本弊不除、則其末難止。
83.10	升、
83.11	同偷、
83.12	此時非酷吏救止、安能偷少頃之快、言勢不得不然、非與酷吏也。
83.13	溺、謂沉溺不舉也。 ○此言酷吏所由始。
83.14	無藉于嚴酷。 ○又引孔子之言。
83.15	何知有道德。 ○又引老子之言。
83.16	又總斷一句、應前。
83.17	漢之初。
83.18	觚、八棱有隅者。破觚爲圜、謂除去嚴法。
83.19	斲、削也。雕、刻鏤。斲雕爲朴、謂使反質素。
83.20	網極其疎、應上網密。
83.21	同乂、
83.22	烝烝、盛也。艾、治也。 ○一段慨想高文之治。
83.23	彼、指道德。此、指嚴酷。 ○一束用全力。
84.1	史記
84.2	Main|游俠列傳序
84.3	韓非。
84.4	二句以儒俠相提而論、借客形主。
84.5	側重儒一句、起下文。
84.6	術、巧詐也。春秋、國史。
84.7	儒之僞者、誠不足言、起下次憲。
84.8	公晢哀、字季次、亦孔子弟子。
84.9	閭巷之儒、照閭巷之俠。
84.10	次、憲功名未著、而後世學者稱之。儒固自有真也、俠亦從可知矣。
84.11	立氣勢作威福、結私交以立彊于世者、謂之游俠。
84.12	亡者存之、死者生之。 ○句法。
84.13	二句、俠士本領。
84.14	稱游俠一。
84.15	見游俠不可無、接上生下、無限波瀾。
84.16	同巖、
84.17	太公望、行年七十、賣食棘津。
84.18	飢而食菜、則色病、故云菜也。
84.19	同災、
84.20	升、
84.21	正見游俠之不可無也。感歎處、史公自道、故曲折悲憤。
84.22	同以、
84.23	同享、
84.24	享、受也。以受其利者爲有德、何知有仁義也。 ○正應遭菑涉亂、接下。
84.25	伯夷未嘗許周以仁義、然享文武之利者、不以伯夷醜周之故、而貶損其王號。
84.26	強入聲、
84.27	柳跖、莊蹻、皆大盜、其徒享其利、而誦義無窮。
84.28	三句出莊子胠篋篇。竊鉤之小、則爲盜而受誅、竊國之大、則爲侯而人享其利。故仁義存。
84.29	正對何知仁義二句。 ○此段言世俗止知有利、而不知俠士之義、極其感歎。
84.30	暗指季次輩。
84.31	柴、
84.32	忽又歎儒、皆有激之言也。
84.33	指游俠。
84.34	稱游俠二。
84.35	士之窮窘、無所解免、皆得託命、而望俠士之存亡生
84.36	、此誠人之所謂賢豪間者、而未可謂不得與儒齒也。 ○稱游俠三。是史公爲游俠立傳本意。
84.37	同與、
84.38	俠以權力、儒以道德、不可同日而論。 ○綰合次憲、略抑游俠一筆、下卽轉。
84.39	稱游俠四。 ○以上儒俠夾寫、至此方歸本題。
84.40	布衣閭巷是主意、一有憑藉、便不足重。故下詳言之。
84.41	吳季札也。季札豈游俠耶。然史公作傳、旣重游俠矣、必援名人以尊之、若貨殖傳之援子貢也。
84.42	齊田文。
84.43	楚黃歇。
84.44	趙勝。
84.45	魏無忌。
84.46	又借五人引起。
84.47	前有多少層折、方入本題。以爲止矣、偏又翻出一層、落下匹夫之俠。
84.48	其義誠高、其事誠難。 ○稱游俠五。
84.49	儒與墨皆輕俠士、故不載。 ○又挽定儒字。
84.50	遙接布衣之俠、靡得而聞。 ○閭巷布衣匹夫之俠、是著意處。
84.51	緊照延陵、孟嘗、春申、平原、信陵之徒、五賓五主。
84.52	翰、
84.53	同網、 ○謂犯當世之法禁。 ○應以武犯禁。
84.54	名實相副、而不虛立。士阨必濟、而不虛附。 ○稱游俠六。
84.55	至若引朋爲黨、以彊爲宗、互相比周、施財以役乎貧民、恃其豪暴、侵淩孤弱、恣欲以自快者、不特不可語游俠、而游俠亦醜之。 ○此言游俠自有真僞、不可不辨。
84.56	委、
84.57	一往情深。
85.1	史記
85.2	Main|滑稽列傳
85.3	滑稽傳、乃從六藝莊語說來、此卽史公之滑稽也。
85.4	天道恢弘、不必盡出于六藝。
85.5	二句爲滑稽之要領。
85.6	骨、
85.7	滑稽、詼諧也。
85.8	朔、
85.9	一總虛序。
85.10	好隱語。
85.11	勉、
85.12	沉湎、溺于酒也。
85.13	同飛、
85.14	話頭奇絕。
85.15	亦以隱語應、奇。
85.16	封卽墨大夫。烹阿大夫。
85.17	田敬仲。
85.18	一段以大鳥喻、以朝諸縣令數句結之。
85.19	索、盡也。 ○加四字、無關于大笑、而大笑之神情俱現。
85.20	穰田、爲田求豐穰也。 ○又作隱語。
85.21	摟、
85.22	溝、 ○甌窶、高地狹小之區。篝、籠也。
85.23	爺、
85.24	昌遮切、 ○汙邪、下地田也。
85.25	穰穰、多也。
85.26	一語兩關、滑稽之極。
85.27	二段以穰田喻、以益黃金數句結之。
85.28	一路皆以劈空奇論成文。
85.29	絹、
85.30	溝、
85.31	同跽、 ○帣、收也。韝、臂桿也。鞠、曲也。𦜕、小跪也。謂收袖而曲跪也。
85.32	猝、
85.33	三徑字、對下二參字。
85.34	曹、輩也。
85.35	熾、
85.36	眙、視不移也。
85.37	二、
85.38	極意摹寫。
85.39	同三、 ○句法變而趣。 ○上云、一斗一石、此又添出二斗、五六斗、八斗、參差錯落。
85.40	飲酒半罷半在曰闌。
85.41	籍、
85.42	如、
85.43	襦、汗衣也。
85.44	同香、
85.45	句法又變。 ○逐節遞入、入落花流水、溶溶漾漾、而中間有用韻者、有不用韻者、字句之妙、情事之妙、清新俊逸、賦手賦心。
85.46	又忽作莊語。
85.47	三段以飲酒喻、以罷長夜之飲一句結之。總是談言微中可以解紛之意。 ○下有優孟、優旃二傳、并合贊。
86.1	史記
86.2	Main|貨殖列傳序
86.3	至治之世。不知有貨殖。
86.4	同晚、
86.5	言必用老子所說以爲務、而輓近之世、止知塗飾民之耳目、必不可行矣。 ○史公將伸己說、而先引老子之言破之。
86.6	頂至治之極。
86.7	宦、
86.8	謂勢所能至之榮也。 ○此欲富之根。
86.9	尖、
86.10	微妙之論。
86.11	民多嗜欲、則不能至治矣。
86.12	善者因之、是神農以前人。利道、是太公一流。教誨、整齊、是管仲一流。最下與爭、則武帝之鹽鐵平準矣。史公其多感慨乎。
86.13	盧、
86.14	榖、楮也、皮可爲紙。纑、紵屬、可以爲布。旄、牛尾也。
86.15	南、
86.16	妹、
86.17	連、鉛之未鍊者。璣、珠之不圓者。
86.18	傑、
86.19	龍門、山名、在馮翊夏陽縣。碣石、近海山名、在冀北。
86.20	棊置、如圍棊之置、言處處皆有也。 ○忽變一倒句、妙。
86.21	方論貨殖之理、忽雜敍四方土產、筆勢奇矯。
86.22	長句。
86.23	農虞工商、是貨殖之人、前後脈絡。
86.24	宕句有致。
86.25	物賤極必貴、而貴極必賤、故賤者貴之徵、貴者賤之徵。 ○貨殖盡此二語、是一篇主意。
86.26	正見俗之漸民、而貨殖之不可已也。
86.27	三寶、謂珠玉金。
86.28	同闢、
86.29	農、工、虞、商、復點。
86.30	富國、富家、是通篇眼目。
86.31	此段就上文一反、言貨殖亦非易事、存乎其人、以引起太公管仲等。
86.32	齊地。
86.33	昔、
86.34	魯、 ○潟鹵、鹹地也。
86.35	同襁、
86.36	引太公管仲、以爲貨殖之祖。
86.37	九府、蓋錢之府藏、論鑄錢之輕重、故云輕重九府。
86.38	太公管仲是富國。
86.39	同已、
86.40	言失其富厚之勢、則客無所附而不樂。
86.41	豔富羞貧、雖有激之語、然亦確論。
86.42	叶釐、
86.43	四句用韻、蓋古歌謠也。熙熙、和樂也。壤壤、和緩貌。
86.44	暗刺時事、語多感慨。
87.1	史記
87.2	Main|太史公自序
87.3	先人、謂先代賢人。
87.4	適當五百歲之期。
87.5	點出六經。
87.6	何敢自嫌值五百歲而讓之也。明明欲以史記繼春秋意。
87.7	胡、
87.8	設爲問答、單提春秋、見史記源流。
87.9	仲舒。
87.10	王事、卽王道。 ○一句斷盡春秋。已下乃極歎春秋一書之大。
87.11	春秋原實著當時行事、非空言垂訓。
87.12	人不決曰猶豫。
87.13	此段專贊春秋、下復以諸經陪說。
87.14	洛、
87.15	又從易禮書詩樂說到春秋、以應起。
87.16	再將諸經與春秋結束一通。
87.17	莫切近于春秋、應上深切著明。 ○以下獨詳論春秋。
87.18	春秋萬八千字。
87.19	櫽括春秋全部文字。
87.20	升、
87.21	所以弒君亡國及奔走、皆是失仁義之本。
87.22	今易無此語、易緯有之。
87.23	此易坤卦之詞、文亦稍異。 ○兩引易詞、以明本之不可失也。 ○櫽括春秋全部事跡。
87.24	春秋所該甚廣、而君臣父子之分、猶有獨嚴、故提出言之。
87.25	總上文而言、其實心本欲爲善、但爲之而不知其義理、憑空加以罪名、而不敢辭。 ○春秋實有此等事、特爲揭出、甚言春秋之義、不可不知也。
87.26	禮緣義起、故並言之。 ○又卽春秋生出禮義二字。
87.27	爲臣下所干犯。
87.28	應被之空言而不敢辭句。
87.29	一句極贊春秋、收括前意。
87.30	四句引治安策語、見春秋所以作、并史記所以作之意。
87.31	武帝。
87.32	再借壺遂語辨難、一番回護自家、妙。
87.33	委、
87.34	疊用唯唯否否不然、妙。唯唯、姑應之也。否否、略折之也。不然、特申明之也。
87.35	又是先人。
87.36	又言春秋與諸經同義、皆純厚隆盛之書、非刺譏之文。極得宣尼作春秋微意。
87.37	應上遇明天子。
87.38	指獲麟。
87.39	封、泰山上築土爲壇、以祭天。禪、泰山下小山上除地爲墠、以祭山川。
87.40	受天命清和之氣。
87.41	平聲、
87.42	亦、
87.43	傳夷夏之言者曰譯、俗謂之通士。款塞、叩塞門也。
87.44	言口不能悉誦、故不可不載之書。
87.45	此句賓。
87.46	此句主。
87.47	應下得守職。
87.48	一、
87.49	二、
87.50	三、
87.51	作字呼應。
87.52	正對欲以何明句。 ○壺遂問答一篇完。
87.53	太初元年、至天漢三年。
87.54	詳後報任安書中。 ○可見史公未遭禍前、已作史記、特未卒業耳。
87.55	受腐刑。
87.56	隱、憂也。約、猶屈也。
87.57	史公欲卒成史記、故以此句喚起。
87.58	有、
87.59	頻上聲、
87.60	腳、 ○臏、刖刑、去膝蓋骨。
87.61	卽呂氏春秋。
87.62	稅、
87.63	非作孤憤說難等篇、十餘萬言。 ○又組織六經作餘波、而添出離騷、國語等作陪、更妙。
87.64	又借詩作結、文法更變化。
87.65	武帝至雍、獲白麟、遷以爲述事之端、上紀黃帝、下至麟止、猶孔子絕筆於獲麟也。史公雖欲不比春秋之作、又不可得矣。
88.1	司馬遷
88.2	Main|報任安書
88.3	太史公、遷父談也。走、猶僕也。言己爲太史公掌牛馬之僕、自謙之辭也。
88.4	任安字。
88.5	遷旣被刑之後、爲中書令、尊寵任職、故任安責以推賢進士。 ○二句任安來書。
88.6	望、怨也。 ○二句任安書中意。
88.7	一句辨過、下更詳辨。
88.8	疲、
88.9	殘、被刑。穢、惡名。
88.10	言無知心之人、誰可告語。起下文。
88.11	去聲、
88.12	平聲、
88.13	言無知己者、設欲爲善、當爲誰爲之、復欲誰聽之。
88.14	呂氏春秋曰、伯牙鼓琴、意在泰山、鐘子期曰、善哉巍巍若泰山、俄而志在流水、子期曰、善哉湯湯乎若流水。子期死、伯牙破琴絕絃、終身不復鼓琴、以爲世無賞音者。
88.15	大質、身也。
88.16	隨侯珠、和氏璧。
88.17	許由、伯夷。
88.18	點、辱也。 ○一段先作如許曲折、漸引入情。
88.19	從武帝還。
88.20	卑賤之事。苦煩務也。
88.21	少卿相見時近。
88.22	猝、
88.23	卒卒、促遽貌。閒、隙也。 ○說前所以不答之故。
88.24	安爲戾太子事囚獄、更旬月後、便當就刑。季冬、刑日也。
88.25	搏、
88.26	薄、迫也。又迫從天子將祭祀於雍。
88.27	難言其死、故云不可諱。
88.28	滿、
88.29	懣、悶也。
88.30	謂任安恨不見報。 ○說今所以答之故。
88.31	今乃答。
88.32	前不卽答。
88.33	一段又作如許曲折、看他一片心事、更無處明、而欲明向將死之友、可以想見故人交情。
88.34	特標五者、言有此始得列于士林、見己之無復有此、以起下意。
88.35	同慘、
88.36	須利贖罪、而家貧、最憯也。
88.37	盡心事君、而見誣、最痛也。
88.38	辱先人之職業、行莫醜焉。
88.39	構、
88.40	陷割勢之極刑、恥莫大焉。詬、恥也。宮、腐刑也。男子割勢、女子幽閉、次死之刑。 ○緊承四句、正與上五者相反。
88.41	接上起下。
88.42	孔子居衛、靈公與夫人同車、令宦者雍渠參乘、孔子去衛適陳。
88.43	趙良說商君曰、今君之見秦王也、因嬖人景監以爲主、非所以爲名也。寒心、懼其禍必至。
88.44	同子、武帝朝宦官趙談也。與遷父同名、故諱曰同子。袁盎字絲。趙談參乘、袁盎伏車前曰、陛下奈何與刀鋸餘同載。
88.45	應所從來遠。
88.46	言士羞與宦豎爲伍。
88.47	以上敍己虧體辱親、不足薦士。答任安書中推賢進士語。
88.48	緒、餘也。
88.49	不能一。
88.50	不能二。
88.51	牽、
88.52	搴、拔取也。 ○不能三。
88.53	不能四。
88.54	以上敍己平日不能致功名。引咎自責、文勢雄拔。
88.55	廁、間也。太史令千石、故比下大夫。
88.56	外廷、朝堂也。
88.57	如恨如悔、胸中鬱勃不堪之況、盡情傾露。
88.58	塔、
88.59	戎上聲、
88.60	闒茸、猥賤也。
88.61	此段申言不足薦士、再答安意。
88.62	加一筆、更悲惋。
88.63	以下敍己所以被禍之由。此一句管到受辱著書、且與下文未易一二爲俗人言難爲俗人言相呼應。
88.64	負、猶無也。不羈、言才質高遠、不可羈繫也。
88.65	言襲先人太史舊職。周衛、宿衛周密也。
88.66	頭戴盆則不得望天、望天則不得戴盆、事不可兼施、言己方一心于史職、不暇修人事也。
88.67	初意本如此。
88.68	捷轉。
88.69	同爲侍中。
88.70	先明與陵無舊好。
88.71	自守奇節之士。
88.72	以身從事曰殉。
88.73	次明于陵有獨賞。
88.74	一振。
88.75	同酶、
88.76	孽、
88.77	媒、酒酵也。糱、麴也。謂釀成其禍也。
88.78	一落。
88.79	此下言李陵之勝敗、曲折周悉。
88.80	匈奴庭。
88.81	蟬、
88.82	匈奴號。
88.83	陵軍士少、殺匈奴倍多、故曰過當。
88.84	同氈、
88.85	旃裘、匈奴所服。
88.86	左賢王、右賢王、並匈奴侯王之號。
88.87	恣、 ○積、露積也。
88.88	去聲、
88.89	誨、
88.90	血沾而曰沬。淚入口曰飲。
88.91	宦、 ○弮、弩弓也。陵時矢盡、故張空弓。
88.92	一段極力描寫。
88.93	陵麾下騎陳步樂、報陵戰克捷。
88.94	故意寫出公卿王侯醜狀。
88.95	故意寫出。 ○已上詳敍李陵。
88.96	款款、忠實貌。
88.97	味之甘者自絕、食之少者分之。 ○上素所蓄積句、與此素與士大夫絕甘分少句、兩素字遙關。
88.98	敗降匈奴。
88.99	彼觀、猶觀彼也。
88.100	欲立功于匈奴以當罪、乃所以報漢也。
88.101	事旣無可如何、計不得不出此。 ○此句正推原陵意、妙。
88.102	僕、
88.103	況其摧破匈奴之兵、已足以表白于天下矣。 ○此段以以爲二字貫、是遷意中語。
88.104	未得其便。
88.105	上段意中之㫖。
88.106	對上慘愴怛悼。
88.107	厓、
88.108	恣、
88.109	睚眦、忤目相視貌。 ○對上媒糱其短。
88.110	稅、
